step_count,active_time,update_time,create_time,speed,distance,calorie
2240,1349745,2021-06-06 16:42:44,2021-06-06 1:14:33,1.2515172,1689.23,85.299995
186,114317,2021-09-20 0:36:47,2021-09-19 16:55:05,1.2183623,139.28,7.0000005
9070,4944991,2021-08-25 4:00:02,2021-08-25 4:00:02,1.4184028,7013.9893,366.54996
2228,1100191,2021-04-07 18:30:02,2021-04-07 18:30:02,1.664346,1831.0999,88.74999
2327,1328976,2021-09-18 2:15:24,2021-09-17 4:35:02,1.3217915,1756.63,91.549995
4232,2324844,2021-07-16 18:12:11,2021-07-16 1:27:10,1.3882817,3227.5398,166.54997
1728,961414,2020-12-14 18:30:02,2020-12-14 18:30:02,1.3807051,1327.4299,58.679996
1836,1057541,2020-09-25 17:35:14,2020-09-25 2:43:35,1.3083744,1383.66,59.189995
1966,1201398,2021-10-01 2:50:50,2021-09-30 16:58:31,1.2129697,1457.26,76.38
3348,1965077,2020-10-04 18:30:01,2020-10-04 18:30:01,1.2746061,2504.7,106.24997
6880,3901638,2021-03-27 16:35:53,2021-03-27 3:21:44,1.3600544,5306.44,264.25998
3001,1809159,2020-11-01 16:26:42,2020-10-31 18:30:29,1.236895,2237.74,103.979996
1196,692276,2021-02-08 17:15:07,2021-02-07 18:35:02,1.3054603,903.74,41.17
6000,3506263,2021-08-01 18:30:01,2021-08-01 18:30:01,1.2804627,4489.64,233.06999
1719,978329,2021-01-22 18:30:01,2021-01-22 2:29:55,1.3243384,1295.64,57.129993
747,417301,2021-01-02 18:30:01,2021-01-02 18:30:01,1.3672856,570.57,26.339998
1616,950896,2021-01-27 18:30:02,2021-01-27 18:30:02,1.279413,1216.59,55.539997
13852,7804904,2021-08-21 4:00:03,2021-08-21 4:00:03,1.3407274,10464.25,542.2699
11227,6307173,2021-02-27 18:30:02,2021-02-27 18:30:02,1.3528056,8532.38,433.52
1021,601421,2020-11-05 17:38:08,2020-11-05 4:34:38,1.2839905,772.22003,35.839996
4294,2448965,2021-08-02 16:42:22,2021-08-02 2:10:02,1.3310803,3259.77,166.98
4310,2491403,2020-10-17 18:30:01,2020-10-17 18:30:01,1.3065006,3255.02,146.87999
2028,1231393,2020-10-07 15:18:32,2020-10-07 0:59:46,1.2270322,1510.96,65.77999
2148,1231550,2020-11-14 18:30:04,2020-11-14 18:30:04,1.3140755,1618.35,72.53
4174,2329271,2021-07-21 18:30:06,2021-07-21 18:30:06,1.357669,3162.38,163.04
1352,790809,2021-04-25 18:30:01,2021-04-25 18:30:01,1.2792586,1011.65,49.329998
3306,1685954,2021-03-17 18:30:02,2021-03-17 18:30:02,1.5171409,2557.8298,107.359985
5764,3220052,2021-04-04 18:30:06,2021-04-04 18:30:06,1.3640648,4392.36,208.38998
655,390752,2021-01-11 16:36:27,2021-01-11 4:25:33,1.253019,489.62,22.65
1286,743130,2021-04-18 18:30:01,2021-04-18 18:30:01,1.3030423,968.33,46.109997
